,level_0,Unnamed: 0,index,uid,date,time,secchi,lat,lon,Provider,blue,green,red,pan,nir,swir16,swir22,Image_name,predicted
55,55,55,220,Daniel_86240_CS.SNR-002.86,14/07/20,10:45:00,0.6,36.88548,-76.49579,CHESEAPEK_BAY,0.007179496,0.013479084,0.010508408,0.010327444,0.003605734,-0.000511631,-0.000233302,LE07_L1TP_014034_20200714_20200823_01_T1,0.6301798820495605
56,56,56,224,Daniel_48744_TF2.4,17/07/07,08:00:00,0.6,38.5301,-77.2654,CHESEAPEK_BAY,0.010006513,0.016980732,0.011600319,0.012669633,0.00723367,-0.000195927,0.000616149,LE07_L1TP_015033_20070718_20160922_01_T1,0.8436183929443359
57,57,57,228,Daniel_60325_CB5.3,23/04/07,10:16:00,1.1,37.91011,-76.17137,CHESEAPEK_BAY,0.00555038,0.008126221,0.004691243,0.005226655,0.001719233,0.000682306,0.000389275,LE07_L1TP_014034_20070422_20160922_01_T1,2.498068332672119
58,58,58,229,Daniel_20942_CB2.1,11/11/20,10:31:00,1.2,39.44149,-76.02599,CHESEAPEK_BAY,0.004101341,0.010418057,0.005650932,0.006794122,0.001600467,0.000682001,-0.00039377,LE07_L1TP_015032_20201110_20201206_01_T1,1.4532456398010254
59,59,59,233,Daniel_103443_EE1.1,17/03/15,08:10:00,2.4,38.88,-76.2515,EOTB,0.003429006,0.00773227,0.005799268,0.00729725,0.004021158,0.003367147,0.003732589,LE07_L1TP_015033_20150318_20160902_01_T1,1.0834920406341553
60,60,60,250,Daniel_92686_CB4.3W,13/03/07,09:43:00,1.4,38.55728,-76.49402,EOTB,0.004100397,0.006262734,0.003451883,0.005211735,0.002220637,0.000899397,-0.000139641,LE07_L1TP_015033_20070312_20160922_01_T1,2.909200668334961
61,61,61,252,Daniel_20854_CB4.1C,25/08/15,13:02:00,1.2,38.82593,-76.39945,CHESEAPEK_BAY,0.006506941,0.009226355,0.008342139,0.008916003,0.006301316,0.003988323,0.004018641,LE07_L1TP_015033_20150825_20160903_01_T1,1.8138827085494995
62,62,62,254,Daniel_55386_CB6.1,29/11/12,11:07:00,1.6,37.58847,-76.16216,CHESEAPEK_BAY,0.008858718,0.010045905,0.005467035,0.007142022,0.001479485,0.000904056,-0.000178489,LE07_L1TP_014034_20121129_20160910_01_T1,3.005527973175049
63,63,63,255,Daniel_65674_MJB004.30,09/11/10,11:26:00,1.4,37.32493,-76.39478,CHESEAPEK_BAY,0.009493419,0.012466624,0.007769001,0.008670224,0.0014495,-6.99e-05,0.000493583,LE07_L1TP_014034_20101108_20160914_01_T1,2.364785671234131
64,64,64,258,Daniel_81538_RET5.1A,01/11/11,11:45:00,0.4,37.3123,-76.87672,CHESEAPEK_BAY,0.005712127,0.012358221,0.013707155,0.011580695,0.004726506,-6.87e-05,0.000392167,LE07_L1TP_015034_20111102_20160912_01_T1,0.5779095888137817
65,65,65,262,Daniel_99988_LE1.1,25/09/06,11:18:00,0.8,38.42535,-76.60176,EOTB,0.003817307,0.006953887,0.004319581,0.005436433,0.002484466,-0.000378221,-0.000373802,LE07_L1TP_014033_20060926_20160923_01_T1,2.256229877471924
66,66,66,268,Daniel_77917_EE3.1,14/08/02,09:20:00,0.8,38.19685,-75.97321,CHESEAPEK_BAY,0.014866786,0.018641252,0.014478355,0.015095289,0.006999265,0.004049317,0.003113475,LE07_L1TP_014033_20020814_20160928_01_T1,0.42866864800453186
67,67,67,270,Daniel_114604_EE3.0,13/08/08,09:00:00,0.8,38.28093,-76.01033,EOTB,0.014421167,0.016757548,0.012770296,0.013222578,0.007221822,0.001466632,0.001165292,LE07_L1TP_014033_20080814_20160918_01_T2,0.6534234285354614
68,68,68,271,Daniel_39015_XEG7539,06/06/06,10:29:00,0.7,38.6245,-76.2688,CHESEAPEK_BAY,0.013791956,0.016661694,0.011206457,0.012186708,0.006042671,0.002776865,0.002768615,LE07_L1TP_014033_20060606_20160924_01_T1,1.1673269271850586
69,69,69,272,Daniel_16138_CB3.1,29/08/11,09:16:00,0.3,39.2495,-76.2405,CHESEAPEK_BAY,0.00919502,0.01602545,0.013721854,0.01222252,0.005342679,0.001841851,0.001722172,LE07_L1TP_015033_20110830_20160913_01_T1,0.6102362275123596
70,70,70,276,Daniel_23549_XGF7832,24/10/19,09:00:00,1.2,38.9611,-76.4475,CHESEAPEK_BAY,0.00440583,0.008190533,0.005344117,0.005550469,0.002522073,0.001077268,0.000463743,LE07_L1TP_015033_20191023_20191118_01_T1,1.6752467155456543
71,71,71,278,Daniel_29118_CB4.2W,11/03/03,11:00:00,1.4,38.64354,-76.50217,CHESEAPEK_BAY,0.00448534,0.006738408,0.002839154,0.004595002,0.001053246,0.000194858,-2.43e-05,LE07_L1TP_014033_20030310_20160927_01_T1,3.7965176105499268
72,72,72,285,Daniel_61643_CB5.4,30/11/12,07:57:00,1.9,37.80013,-76.17466,CHESEAPEK_BAY,0.00753238,0.007536042,0.004305637,0.005645457,0.001358258,0.00087022,-0.000199936,LE07_L1TP_014034_20121129_20160910_01_T1,4.335020542144775
73,73,73,288,Daniel_113845_TF2.4,12/09/16,10:21:00,0.7,38.5301,-77.2654,EOTB,0.005582676,0.011446128,0.009468112,0.008971893,0.004846468,0.000463823,0.001024066,LE07_L1TP_015033_20160912_20161008_01_T1,0.7551712989807129
74,74,74,290,Daniel_59532_CB6.2,24/06/13,14:30:00,1.0,37.4868,-76.15633,CHESEAPEK_BAY,0.007576301,0.011973145,0.008397033,0.010032428,0.005968958,0.004932997,0.004207575,LE07_L1TP_014034_20130625_20160907_01_T1,1.3441274166107178
75,75,75,294,Daniel_83361_LE5.1,03/06/14,10:30:00,0.3,37.20297,-76.64833,CHESEAPEK_BAY,0.012243877,0.02184637,0.020405663,0.017458312,0.008234142,0.000190041,0.000117636,LE07_L1TP_015034_20140603_20160908_01_T1,0.377996027469635
76,76,76,295,Daniel_86368_CB2.1,16/07/21,10:17:00,0.8,39.44149,-76.02599,EOTB,0.005375268,0.00878354,0.004977463,0.006898129,0.00253395,-0.001129195,-0.000778051,LE07_L1TP_014033_20210717_20210812_01_T1,2.486964464187622
77,77,77,302,Daniel_79454_EE3.4,16/11/01,13:50:00,1.5,37.90846,-75.79132,CHESEAPEK_BAY,0.011727376,0.015238827,0.009707923,0.009749073,0.002131139,0.000559018,0.000875211,LE07_L1TP_014034_20011115_20160929_01_T1,1.4717426300048828
78,78,78,306,Daniel_50828_RET2.1,12/02/08,10:03:00,0.2,38.4035,-77.2691,CHESEAPEK_BAY,0.012168379,0.023063434,0.025520066,0.018018592,0.005394081,-0.000717757,-0.001218226,LE07_L1TP_015033_20080211_20160923_01_T1,0.32355570793151855
79,79,79,308,Daniel_79060_EE3.5,12/12/11,15:13:00,1.2,37.79652,-75.84438,CHESEAPEK_BAY,0.007942547,0.010736237,0.007810602,0.007960646,0.002767887,0.000683757,-0.000398034,LE07_L1TP_014034_20111213_20160912_01_T1,2.392641544342041
80,80,80,309,Daniel_126188_PAN00028,19/12/07,11:00:00,1.5,9.1706565,-79.8295637,BAFG,0.010610619,0.017101325,0.009055045,0.010691709,0.004858696,0.001369951,0.001124049,LE07_L1TP_012054_20071220_20161231_01_T1,1.7420892715454102
81,81,81,312,Daniel_115166_EE2.2,12/05/09,13:15:00,1.5,38.52609,-76.30408,EOTB,0.012543851,0.014287795,0.009292794,0.01122737,0.007350209,0.003407771,0.002484964,LE07_L1TP_014033_20090513_20160917_01_T1,1.7234861850738525
82,82,82,316,Daniel_102233_LE1.4,30/07/14,08:39:00,1.1,38.312,-76.42151,EOTB,0.01382287,0.014002103,0.010212586,0.013456453,0.010647808,0.000965117,0.000513721,LE07_L1TP_014033_20140730_20160905_01_T1,2.0484352111816406
83,83,83,322,Daniel_118518_CB3.3C,18/10/11,13:38:00,0.8,38.99596,-76.35967,EOTB,0.009056622,0.014554639,0.012872513,0.012868323,0.008371647,0.004302916,0.003137518,LE07_L1TP_015033_20111017_20160912_01_T1,0.6583977937698364
84,84,84,323,Daniel_116549_CB2.2,11/11/20,09:43:00,1.2,39.34873,-76.17579,EOTB,0.005905198,0.011148865,0.006578605,0.007564863,0.003106477,0.000693974,0.000988597,LE07_L1TP_015033_20201110_20201206_01_T1,1.8171329498291016
85,85,85,324,Daniel_60393_CB5.5,19/09/13,10:28:00,1.8,37.6918,-76.18967,CHESEAPEK_BAY,0.003089437,0.00602365,0.004082052,0.005329405,0.002017527,0.001715038,0.001348557,LE07_L1TP_015034_20130920_20160907_01_T1,1.7295773029327393
86,86,86,328,Daniel_78962_EE3.4,29/11/12,14:38:00,1.2,37.90846,-75.79132,CHESEAPEK_BAY,0.00766707,0.013590675,0.00852147,0.008544189,0.002619349,0.000343149,0.000804366,LE07_L1TP_014034_20121129_20160910_01_T1,1.0949592590332031
87,87,87,342,Daniel_37479_ARF.WestFloatFree,03/09/21,10:13:00,0.55,38.8602,-76.5029,CHESEAPEK_BAY,0.005545417,0.010730901,0.006784354,0.007380633,0.002635539,-0.001441144,-0.001455555,LE07_L1TP_014033_20210903_20210929_01_T1,1.339890718460083
88,88,88,344,Daniel_101271_LE1.3,05/02/09,09:43:00,1.4,38.3398,-76.4849,EOTB,0.006208231,0.008980262,0.004815717,0.006361881,0.00199783,0.000691456,0.000246336,LE07_L1TP_014033_20090206_20160917_01_T1,2.6441755294799805
89,89,89,345,Daniel_77870_XCI4078,21/10/09,10:29:00,1.0,38.23379,-75.86963,CHESEAPEK_BAY,0.005273883,0.010797028,0.007827981,0.007925546,0.002220275,0.000152837,-0.000507402,LE07_L1TP_014033_20091020_20160916_01_T1,0.7969731092453003
90,90,90,349,Daniel_48297_SMT07,12/06/00,09:45:00,1.32,38.11183,-76.44334,CHESEAPEK_BAY,0.006156899,0.010377955,0.005792535,0.009040664,0.004511993,0.001163755,0.001510832,LE07_L1TP_015033_20000612_20161001_01_T1,2.4430999755859375
91,91,91,354,Daniel_94269_CB5.1,01/11/99,12:00:00,1.8,38.3187,-76.29215,EOTB,0.009367379,0.010101427,0.005902166,0.007842635,0.00277689,0.000405562,0.000169762,LE07_L1TP_015033_19991101_20161003_01_T1,3.1993279457092285
92,92,92,358,Daniel_19664_CB3.3E,17/03/15,11:49:00,1.7,39.00412,-76.34517,CHESEAPEK_BAY,0.004491426,0.00937519,0.007318068,0.008554427,0.005089587,0.004703983,0.004676979,LE07_L1TP_015033_20150318_20160902_01_T1,0.8902246356010437
93,93,93,360,Daniel_94337_CB5.1,12/05/14,12:31:00,1.0,38.3187,-76.29215,EOTB,0.007772714,0.010376222,0.007371312,0.008629505,0.004983509,0.003855547,0.003424366,LE07_L1TP_014033_20140511_20160905_01_T1,2.725440502166748
94,94,94,364,Daniel_25964_LE1.4,24/07/06,09:03:00,1.0,38.312,-76.42151,CHESEAPEK_BAY,0.006326877,0.007046982,0.004034794,0.006222923,0.003860686,0.000105005,-0.00059863,LE07_L1TP_014033_20060724_20160923_01_T1,3.8698043823242188
95,95,95,369,Daniel_29142_CB5.2,07/08/00,11:12:00,1.8,38.13705,-76.22787,CHESEAPEK_BAY,0.004282574,0.006818328,0.004679983,0.007702629,0.003682954,0.0027652,0.003009884,LE07_L1TP_014034_20000808_20161002_01_T1,2.1019387245178223
